fold,subject,muscle,MAE,R2
1,10,VM,1.7878327186908631,0.9913053720259036
1,10,RF,2.16174884080817,0.9722496735630934
1,10,BF,1.9791164469389833,0.9921811932285942
1,10,ST,2.594305921407943,0.9652421748681449
2,8,VM,4.28532901942514,0.915780840373994
2,8,RF,2.290599774858961,0.98334155281249
2,8,BF,2.7451658319214265,0.9789639019337696
2,8,ST,3.997318266909905,0.9425187113121605
3,9,VM,3.9883724588627247,0.9456123337928186
3,9,RF,6.978393418275383,0.9207959211117996
3,9,BF,3.0670437850646426,0.9479258714779333
3,9,ST,3.406272351540302,0.9308649456299638
4,7,VM,3.5453804409648457,0.9615548873632697
4,7,RF,2.238166221472563,0.9804051656474442
4,7,BF,2.8090982099501423,0.9768982375555101
4,7,ST,2.7621198456092246,0.9097147087236412
5,6,VM,2.487808652304969,0.9789806822426734
5,6,RF,1.8816838996573275,0.9866305054111334
5,6,BF,4.079875096544858,0.8582533224712543
5,6,ST,4.651698434986677,0.6310967235509013
6,2,VM,1.2564714937540111,0.9856267403055231
6,2,RF,1.2940487923347275,0.9839316245528139
6,2,BF,1.6595625050748737,0.9544329547015928
6,2,ST,1.356366591590996,0.9920393432305974
6,3,VM,2.2121255575284313,0.987845867608632
6,3,RF,2.7777105577605776,0.9797497703371781
6,3,BF,3.0499314801276043,0.9630868960245198
6,3,ST,2.8633736248963673,0.9826029990938397
7,11,VM,2.4655039290380016,0.9841387307617003
7,11,RF,2.36803240872098,0.9777359573670725
7,11,BF,1.9176166986559606,0.9866260202642667
7,11,ST,1.9069261378144515,0.9877872735963006
7,4,VM,2.2751573938926843,0.9661199032248824
7,4,RF,2.570670788071167,0.9395855639239655
7,4,BF,3.757436020433289,0.9739039948537167
7,4,ST,3.4797008318246623,0.9690853787954568
8,1,VM,1.0031011105424947,0.9945906248324995
8,1,RF,1.2428476319757038,0.9921262910460105
8,1,BF,0.9666631414396161,0.9940895529638225
8,1,ST,0.994830434890756,0.997645151167491
8,5,VM,3.639255046947915,0.8747287683677928
8,5,RF,2.6981007573337745,0.9290255120901734
8,5,BF,4.725097001631849,0.84338466319015
8,5,ST,3.453828574103494,0.9558966541795152
