,VM,RF,BF,ST
BF_iEMG,0.005516278572164457,0.005084285838084191,0.14480805027275342,0.015140085841477436
BF_mean,0.005864512367276276,0.005424447007494238,0.15580068719269774,0.016056389562891793
BF_rms,0.005202368476031583,0.004791495631256026,0.12452124428592945,0.013230604888019503
BF_var,,,0.008360044531397747,
BF_wl,0.0006480281853528779,0.00047588074445003014,0.01145727606421627,0.0006516213877154175
RF_iEMG,0.00800793357747318,0.14872176912656987,0.009144424255687789,0.0059924594480633584
RF_mean,0.007337356584227827,0.13577496574568637,0.008167524079642208,0.0054747302227701414
RF_rms,0.004742665492053111,0.09770807832224991,0.006522425747384708,0.0038010309851261525
RF_var,0.0005653385321366833,0.0013241353389483955,0.0008200828656745651,0.0008836448515627815
RF_wl,0.0007262944317623532,0.0028831111532404584,0.0009534985991348944,0.0009321310166038987
ST_iEMG,0.005311473405473333,0.004302742172556562,0.012948260132211998,0.16527707079324314
ST_mean,0.0058092098493901624,0.004676342872195427,0.014790857968517679,0.1894915389595108
ST_rms,0.004042076329024013,0.003161282392307019,0.00798139303280706,0.10553079074682362
ST_var,0.0004908276026670877,0.00045009545770811064,,0.005732398581977471
ST_wl,0.0007543832777474723,0.0006198152078915609,0.0009655692975570895,0.009706809448733634
VM_iEMG,0.1425301648417594,0.014048781775662666,0.008976636352021472,0.00630884872196843
VM_mean,0.14043943612338036,0.014143467589160064,0.009873981604416248,0.006545509011773576
VM_rms,0.09769910624633608,0.009577045155974762,0.007538147431941844,0.0050060826016629974
VM_var,0.0017668976338749086,0.000484310018870826,0.0012561224400593819,0.000678179428902348
VM_wl,0.003004311284116612,0.0007725483429261825,0.0015505387714807694,0.0011418293809606905
t_mid,0.0005757523380264362,0.0006001810981019817,0.0011777606267511342,0.0015561444175339223
